Id,ProjectId,Month,AvgHighTemp,AvgLowTemp,RecordAvgHighTemp,RecordAvgLowTemp,AvgRain,RecordHighAvgRain,RecordLowAvgRain,AvgSnow,RecordHighAvgSnow,RecordLowAvgSnow,AvgHighWind,AvgLowWind,RecordAvgHighWind,RecordAvgLowWind
44,0063l00000kJsktAAC,8,97.8,72.7,105.2,69.8,2.2,13,0,0,0,0,5.86,3.86,6.2,5.52
45,0063l00000kJsktAAC,9,92,67.2,98.7,63.3,2.7,7,0,0,0,0,6.725,4.725,7.86,5.59
46,0063l00000kJsktAAC,10,83.1,56.9,91.2,51,4.3,21.1,0,0,0,0,6.03,4.03,6.25,5.81
47,0063l00000kJsktAAC,11,72.1,46.8,79.5,41.6,2.7,10.5,0,0,0,0,7.125,5.125,7.13,7.12
48,0063l00000kJsktAAC,12,64.8,39.1,75,33.3,2.2,6.4,0.2,0.1,1.3,0,6.725,4.725,7.18,6.27
49,0063l00000kIsAmAAK,1,24.8,7.6,32.8,-0.1,1.6,3.5,0.8,14.2,19.1,6,7.38,5.38,7.6,7.16
50,0063l00000kIsAmAAK,2,29.5,11.9,33.5,5.1,2.2,4.4,1.2,14.9,26.2,8.4,8.03,6.03,8.28,7.78
51,0063l00000kIsAmAAK,3,40.4,22.1,41.5,20.3,2.6,3.8,1.5,7.2,13.7,3,8.715,6.715,9.62,7.81
52,0063l00000kIsAmAAK,4,60.3,36,63.1,33.7,4,6.2,1.6,1.3,6.5,0,9.065,7.065,9.43,8.7
53,0063l00000kIsAmAAK,5,67.4,46.2,72.5,41.9,4.6,10,1.8,0,0.1,0,7.195,5.195,7.24,7.15
54,0063l00000kIsAmAAK,6,76.6,55.2,79.3,53.4,6,10.4,4.1,0,0,0,7.115,5.115,7.58,6.65
55,0063l00000kIsAmAAK,7,80,59.4,81.4,58.1,3.6,5.2,1.6,0,0,0,5.84,3.84,5.95,5.73
56,0063l00000kIsAmAAK,8,79.1,58.5,81.4,56,5.4,14.2,1.2,0,0,0,5.355,3.355,5.78,4.93
57,0063l00000kIsAmAAK,9,73.5,50.2,78,48.2,2.4,4.1,1.2,0,0,0,4.625,2.625,4.85,4.4
58,0063l00000kIsAmAAK,10,57.9,38.8,64.8,36.2,2.7,4.2,0.6,0.2,1,0,5.055,3.055,5.31,4.8
59,0063l00000kIsAmAAK,11,45.6,28,47.5,25.7,1.7,3.2,0.4,1.7,3,0,6.04,4.04,6.68,5.4
60,0063l00000kIsAmAAK,12,32.8,15.7,36.5,6.1,2.7,4.7,1.3,14.5,41.9,2,6.145,4.145,6.16,6.13
61,0063l00000iyowsAAA,1,66,41.2,68.6,37,0.6,3,0,0,0,0,6.91,4.91,8.5,5.32
62,0063l00000iyowsAAA,2,72.1,45.2,75.5,44,0.6,2.2,0,0,0,0,6.7,4.7,7.3,6.1
63,0063l00000iyowsAAA,3,81.3,51,86.6,45.7,0.3,1.1,0,0,0,0,8.045,6.045,8.14,7.95
64,0063l00000iyowsAAA,4,85.2,54.9,85.2,53.2,0,0.2,0,0,0,0,8.015,6.015,8.58,7.45
65,0063l00000iyowsAAA,5,97.6,65.4,99.7,64.1,0,0.1,0,0,0,0,9.03,7.03,9.19,8.87
66,0063l00000iyowsAAA,6,104.5,72.9,107.2,70.1,0,0,0,0,0,0,9.595,7.595,10.3,8.89
67,0063l00000iyowsAAA,7,109.2,81.2,109.9,78.9,0.1,0.3,0,0,0,0,10.28,8.28,10.72,9.84
68,0063l00000iyowsAAA,8,105.2,77.2,105.9,77,0.5,2.1,0,0,0,0,9.105,7.105,9.34,8.87
69,0063l00000iyowsAAA,9,100.3,68.9,103.7,66.3,0.4,1.2,0,0,0,0,6.38,4.38,6.55,6.21
70,0063l00000iyowsAAA,10,87.5,58.9,88.2,57.4,0.3,0.7,0,0,0,0,5.085,3.085,5.43,4.74
71,0063l00000iyowsAAA,11,76,48.1,80.1,46.5,0.1,0.3,0,0,0,0,6.755,4.755,7.27,6.24
72,0063l00000iyowsAAA,12,65.7,40.6,68,39.2,0.6,1.5,0,0,0,0,4.355,2.355,5.05,3.66
73,0063l00000iyMRRAA2,1,32.7,12.3,39.1,6.1,0.4,1.2,0.1,5.9,15.2,1.3,10.765,8.765,12.15,9.38
74,0063l00000iyMRRAA2,2,34.3,14.1,41.1,7.1,0.5,1.4,0.2,6.5,19.8,2.3,12.94,10.94,13.78,12.1
75,0063l00000iyMRRAA2,3,44,22.1,51.3,15.4,0.9,2.1,0,10.1,28.3,0,12.7,10.7,13.62,11.78
76,0063l00000iyMRRAA2,4,50.8,27.4,58.8,21.7,1.4,3.3,0.3,12.2,28.6,2.5,12.6,10.6,12.64,12.56
77,0063l00000iyMRRAA2,5,59.9,36.3,65.5,32.6,1.8,2.9,0.4,4.4,16,0,12.62,10.62,13.52,11.72
78,0063l00000iyMRRAA2,6,76,47.1,82.1,43.1,1.3,3.4,0.2,0.7,12,0,13.115,11.115,14.88,11.35
79,0063l00000iyMRRAA2,7,81.3,52.6,83,50.4,1.9,3.1,0.8,0,0,0,9.52,7.52,10.4,8.64
80,0063l00000iyMRRAA2,8,79.9,50.8,83.9,48,1.3,3.3,0.2,0,0,0,10.34,8.34,10.67,10.01
81,0063l00000iyMRRAA2,9,73,43.8,75.9,40.4,1.3,3.5,0.2,0.5,3.8,0,9.445,7.445,9.69,9.2
82,0063l00000iyMRRAA2,10,57.2,31.6,66.3,21.3,1.1,2.5,0.2,6.3,20,0,11.41,9.41,12.15,10.67
83,0063l00000iyMRRAA2,11,44.6,22.5,50.5,15.4,0.6,1.6,0,7.2,23.9,1.7,12.23,10.23,12.7,11.76
84,0063l00000iyMRRAA2,12,35,14.4,42.5,9.6,0.5,0.8,0.1,6.4,11.9,0.6,12.25,10.25,12.81,11.69
85,0063l00000iyiyfAAA,1,45.2,20.2,58.2,14.9,0.6,2.6,0,4.7,14.8,0,11.095,9.095,11.21,10.98
86,0063l00000iyiyfAAA,2,48.6,22.3,60.3,13.5,0.5,1.6,0,4.4,14.3,0,12.55,10.55,12.98,12.12
87,0063l00000iyiyfAAA,3,59.5,31.2,68.7,22.1,1.4,5,0,3.2,19,0,13.97,11.97,14.65,13.29
88,0063l00000iyiyfAAA,4,68.7,40.3,76.9,32.9,1.8,8.1,0,0.8,10,0,14.415,12.415,14.56,14.27
89,0063l00000iyiyfAAA,5,78.1,51.2,87,47.4,3,10.3,0.2,0,1,0,12.08,10.08,13.19,10.97
90,0063l00000iyiyfAAA,6,88.6,62.1,96.5,58.9,3.5,12,0.3,0,0,0,13.675,11.675,14.42,12.93
91,0063l00000iyiyfAAA,7,93.4,66.8,102.4,64,3.2,8.4,0.5,0,0,0,10.995,8.995,11.06,10.93
92,0063l00000iyiyfAAA,8,91.2,64.9,99.3,60.9,2.9,7.3,0.3,0,0,0,10.34,8.34,10.4,10.28
93,0063l00000iyiyfAAA,9,84,56.8,90.8,51.4,1.7,5.1,0,0,1.4,0,10.65,8.65,11.43,9.87
94,0063l00000iyiyfAAA,10,70.9,43.2,80.2,37.2,2,6.5,0,0.4,4.3,0,12.04,10.04,12.43,11.65
95,0063l00000iyiyfAAA,11,57.8,30.9,66.8,24.2,0.9,6.4,0,1.1,8.5,0,11.795,9.795,12.27,11.32
96,0063l00000iyiyfAAA,12,46.4,22.1,58.4,14.7,0.9,4.3,0,3.8,14.9,0,10.395,8.395,10.78,10.01
97,0063l00000iwWGxAAM,1,40.6,15.8,52,8.3,0.4,2,0,5.3,28,0,12.045,10.045,13.44,10.65
98,0063l00000iwWGxAAM,2,42.3,17.2,50.9,10.4,0.5,1.2,0,5.9,13,0,11.975,9.975,12.86,11.09
99,0063l00000iwWGxAAM,3,52.8,25.5,65.1,19,1.1,4.1,0,4.3,15.9,0,12.925,10.925,13.85,12
100,0063l00000iwWGxAAM,4,60.1,32,68,27.3,1.9,4.1,0.2,3.2,14,0,13.17,11.17,13.55,12.79
101,0063l00000iwWGxAAM,5,69,42,76.3,37.1,3.1,9,0.6,0.8,6,0,14.24,12.24,15.66,12.82
102,0063l00000iwWGxAAM,6,82,52.2,91.3,44.7,2.9,9.9,1.1,0,0,0,12.02,10.02,13.11,10.93
103,0063l00000iwWGxAAM,7,89.2,59,94.2,54.3,2.6,6.1,0.6,0,0,0,10.275,8.275,10.44,10.11
104,0063l00000iwWGxAAM,8,86.8,56.7,93.7,51.5,2.1,5.3,0.1,0,0,0,9.615,7.615,9.93,9.3
105,0063l00000iwWGxAAM,9,79,48.1,87.7,42.4,1.6,8.4,0.1,0.1,2,0,10.325,8.325,11.47,9.18
106,0063l00000iwWGxAAM,10,63.9,34.8,74.9,26.7,1,3,0,2.6,15,0,10.97,8.97,11.01,10.93
107,0063l00000iwWGxAAM,11,51.9,24.4,60,15.1,0.5,1.4,0,3.3,10,0,10.97,8.97,11.46,10.48
108,0063l00000iwWGxAAM,12,42.1,17.6,51.6,9.4,0.4,1.4,0,5.3,19.2,0,12.16,10.16,12.9,11.42
